content,score,at,app
i love shoppe very well trusted and honest,5,2025-08-07 15:06:46,Shopee
good,5,2025-08-07 14:58:34,Shopee
"I rather input my credit card info when I make order instead of save my credit card info in the app for security reasons, and it results the payment method become COD for every item in every shop. that's why I have not using shopee for quite some time already.",3,2025-08-07 14:54:18,Shopee
"Shopee is my favorite shopping app!!! Super easy to use, lots of good deals and vouchers. I always find what I need, and delivery is usually fast. Tons of choices and prices are usually cheaper than in stores. Just make sure to read reviews before buying. Overall, really convenient and worth it!",5,2025-08-07 14:46:17,Shopee
bagus,5,2025-08-07 14:44:54,Shopee
bagus,5,2025-08-07 14:12:09,Shopee
apps mudah digunakan.,5,2025-08-07 14:01:25,Shopee
Good,4,2025-08-07 13:18:12,Shopee
paduuuu..mudah untuk kita membeli...yq sopeee,5,2025-08-07 13:17:53,Shopee
best excellent,5,2025-08-07 13:11:41,Shopee
"scam, voucher able select on checkout page, but not allow use to checkout. tnc all pass. you show to make people fun?",1,2025-08-07 13:04:15,Shopee
why when open shopee app its auto to the video. i install shopee for buying item. not see a nonsense video. 👎🏼👎🏼👎🏼👎🏼👎🏼,1,2025-08-07 13:01:02,Shopee
Very good and user-friendly application,5,2025-08-07 12:39:04,Shopee
delivery service is good and responsive,5,2025-08-07 12:15:35,Shopee
for parts was ok for emergency can't wait for the parts to arrive,5,2025-08-07 12:14:29,Shopee
Nice got many free coupon,5,2025-08-07 11:23:27,Shopee
"Trusted, loyal, easy, best!",5,2025-08-07 11:12:16,Shopee
"So good, nothing can beat shopee 👍👍👍",5,2025-08-07 11:00:49,Shopee
They keep reporting and locking all my accounts.. Pls dont download it... Lazada is better.,1,2025-08-07 10:51:44,Shopee
"it's a very useful app to purchase items, and it also has a group of super responsive customer service agent team. Overall it's a good application for buying goods ✨",5,2025-08-07 10:47:09,Shopee
mudah jimat Dan berkualiti,5,2025-08-07 10:41:39,Shopee
trusted,5,2025-08-07 10:37:49,Shopee
No more delivery notification sent.,5,2025-08-07 10:20:44,Shopee
Awesome... I love Shopee. make me save my budget n lots of discounts..,5,2025-08-07 10:16:55,Shopee
best seller there,5,2025-08-07 09:47:31,Shopee
good happy,5,2025-08-07 09:46:09,Shopee
good,5,2025-08-07 09:31:52,Shopee
Cannot login. Please fix this issue,5,2025-08-07 09:12:14,Shopee
Fast service and confidentiality. Thank you very much.,5,2025-08-07 09:03:22,Shopee
best byk brg murah🫢,5,2025-08-07 08:47:16,Shopee
good,5,2025-08-07 08:00:54,Shopee
good,5,2025-08-07 07:34:11,Shopee
x boleh pilih kurier. shopee express lembab. nak jnt jugak,5,2025-08-07 07:26:37,Shopee
👍,5,2025-08-07 07:21:16,Shopee
"Shopee make my shopping routine easier. And no need to worry about scammer, because it is easy to get refund.",5,2025-08-07 07:07:06,Shopee
ok ok,5,2025-08-07 07:04:01,Shopee
Fair price and more choice of products. Let's shopping 🛍️,5,2025-08-07 06:39:27,Shopee
👍🏻👍🏻👍🏻,5,2025-08-07 06:25:13,Shopee
Mudah nak cari dan beli barang. Tq shopee.,5,2025-08-07 06:16:31,Shopee
ok,5,2025-08-07 06:16:07,Shopee
the best shopping apps in the world,5,2025-08-07 06:15:00,Shopee
nice apps,5,2025-08-07 05:19:18,Shopee
a lot of discount vouchers available upon check out. 👍,5,2025-08-07 05:16:24,Shopee
cheap products,5,2025-08-07 05:13:06,Shopee
good,5,2025-08-07 05:05:09,Shopee
cannot spend shopee coin in a day and have to wait tomorrow here some 1 star for you,1,2025-08-07 04:38:18,Shopee
"bias towards buyers, unfair towards sellers. Please do not sell with Shopee. In fact, boycott it if possible. edit: i have already given all contact info to your team eons ago but your team took no actions.",1,2025-08-07 04:28:37,Shopee
good,5,2025-08-07 04:07:09,Shopee
"Over all, I like shopee, definitely better than competitors. What cost you a star are the live videos that come with almost every article I click to have a look at. Very irritating to me. The price changes while setting up an order with cashback in RM are confusing as well. I would prefer the price as indicated and then at the end of the order the discount amount.",4,2025-08-07 03:55:17,Shopee
"the longer I use shopee , the longer i feel no benefit ... coin shaker gone ,now even plant coin tree ....also have time limit worse .",1,2025-08-07 03:05:54,Shopee
good,5,2025-08-07 03:00:33,Shopee
easy to use and make my daily life complete,5,2025-08-07 02:42:16,Shopee
👍🏻👍🏻👍🏻,5,2025-08-07 02:34:35,Shopee
"mudah dan boleh dipercayai,shoppe terbaik👍",5,2025-08-07 01:00:10,Shopee
awesome,5,2025-08-07 00:56:44,Shopee
Semenanjung to Sarawak need take time 2weeks??are u kidding me??8days stuck at the same PLACE!,1,2025-08-07 00:25:56,Shopee
kenapa shopee seperti tidak ada server pada hp saya. nak buat laporan kepada shopee pun tak boleh dan tidak bisa buat bantuan shopee. seperti tak ada server. sudah berbagai di lakukan tetap sama. sepertinya shopee dah mulai scam saya. benda yang saya mahu bayar kat 7eleven pun tidak boleh. keluar pula network error 111. apa benda punya sial,1,2025-08-07 00:20:54,Shopee
"Snail noving speed, Pislaju take 2 days but Shopee Express take a week to deliver. and expensive shipping! just go to check the Mr DIY website the TACTIX Stackable Container Tool box (60L) the shipping cost RM13 and Shopee charge RM16x?! GARBAGE SELLER with GARBAGE PLATFORM the perfect match!",1,2025-08-06 23:22:36,Shopee
good,5,2025-08-06 21:06:15,Shopee
ok,5,2025-08-06 17:36:46,Shopee
the best,5,2025-08-06 16:50:00,Shopee
best,5,2025-08-06 16:40:31,Shopee
good,5,2025-08-06 15:33:14,Shopee
Geolocation does not tally with admin division????? why I cannot key in the address?????,1,2025-08-06 15:18:20,Shopee
nice,5,2025-08-06 14:56:15,Shopee
good app,5,2025-08-06 14:49:25,Shopee
helpfull,5,2025-08-06 13:53:45,Shopee
good 👍,4,2025-08-06 13:46:28,Shopee
terbaikk,5,2025-08-06 13:45:08,Shopee
terbaik,5,2025-08-06 13:44:04,Shopee
ok,5,2025-08-06 13:26:01,Shopee
too slow,1,2025-08-06 13:14:20,Shopee
ok,5,2025-08-06 12:38:05,Shopee
Goods purchased are as per advertised. Not like tictok advertisement sometime misleading and deceiving,5,2025-08-06 12:28:25,Shopee
terbaik... 5 star,5,2025-08-06 12:22:06,Shopee
👍👍👍👍,3,2025-08-06 12:06:32,Shopee
"Very good overall (88%), especially dependable in day-to-day Malaysian shopping.",5,2025-08-06 12:04:28,Shopee
Luv Shoppee...,5,2025-08-06 11:46:30,Shopee
good,2,2025-08-06 11:43:04,Shopee
"Shopee food is such a scam. Ordered a single Burger from BurgerKing for RM3 and then charged shipping for RM5.. Not even have the option to pickup. RM8 for a single burger with no to little sauce and lettuce is a waste. Other places can do pickup and only BurgerKing cannot do pickup? such a bs... Grab is better, more transparent to users than shopee.",1,2025-08-06 11:17:59,Shopee
bodoh punya app. Sloww,1,2025-08-06 11:17:31,Shopee
sangat baik ini apps jual condom,5,2025-08-06 11:08:00,Shopee
very help me,5,2025-08-06 11:03:21,Shopee
"Akaun frozen katanya item restricted padahal ade je seller lain up item yang sama . dah appeal pon x nak bantu , okey uninstall lah shopee .. pakai tiktok je pasni .. tah hape² mcm lah aku jual dadah .. dia jual kt platform dia insurance tu xper pulak . seller lain update insurance rm 99 tu xper pulak .. teruk betul shoppe ni .",1,2025-08-06 10:58:42,Shopee
"Good for online shopping, saya sudah jadi platinum user.",5,2025-08-06 10:40:47,Shopee
loyal shopee user but after paying off the shopee pay balance will stop using this service cause it does not value its users. will switch to tiktok service now,1,2025-08-06 10:37:42,Shopee
good,5,2025-08-06 10:26:56,Shopee
good,5,2025-08-06 10:19:40,Shopee
best app,5,2025-08-06 10:16:58,Shopee
terbaiikk,5,2025-08-06 09:42:20,Shopee
sangat baik dan berpuashati berurusan dgn shopee.. barangan yang boleh dipercayai.,5,2025-08-06 09:30:32,Shopee
good,5,2025-08-06 09:28:21,Shopee
very good,5,2025-08-06 09:17:12,Shopee
slow parcel delivery,3,2025-08-06 09:16:43,Shopee
"While no platform is perfect, Shopee's commitment to a great user experience, competitive pricing, and strong customer support makes it an excellent choice for anyone looking to shop online. I highly recommend it.",5,2025-08-06 09:07:05,Shopee
"bought an item cost rm350, and use coin voucher that estimated 6.5k after completion of purchase, after received the product, there are major damage on one of the item. and seller agree to refund rm35. Shopee didn't mention anything during the refund process. after refund complete, shopee reclaim back 6.5k coin. if they cut only 700 coin i would understand because of the refund. Really piss off about this issue",1,2025-08-06 09:04:17,Shopee
terbaik,5,2025-08-06 08:58:23,Shopee
Kononnya nak adakan pelbagai pembaharuan selepas tahun baru 2025. Rupanya ada pelbagai masalah.,1,2025-08-06 08:27:38,Shopee
saler terbaik pembungkusan kemas.,5,2025-08-06 08:23:25,Shopee
Good 👍 product,5,2025-08-06 07:38:21,Shopee
Terima kasih terbaik,5,2025-08-06 07:30:48,Shopee
Mudah refund kalau brng rosak atau lmbat,5,2025-08-06 07:12:57,Shopee
"have been using shopee since year 2015 but their team & service getting worst. Voucher and Shipping discount getting less. Until now, they randomly ban account and stated you're violating their T&C because they are not making money . Will uninstall and move to other platform.",1,2025-08-06 07:12:03,Shopee
Very satisfying with the services!!,5,2025-08-06 07:02:41,Shopee
auto play video on startup is very annoying,1,2025-08-06 07:00:58,Shopee
Price cheaper. Love the vouchers,5,2025-08-06 06:48:49,Shopee
good,5,2025-08-06 06:37:43,Shopee
good online shopping paltform,5,2025-08-06 06:13:59,Shopee
"Awesome, good products available",5,2025-08-06 05:57:30,Shopee
Very good..fast and easy make my work much easier,5,2025-08-06 05:39:18,Shopee
Nice apps,5,2025-08-06 05:07:01,Shopee
my shopping centre. 🤟🏻,5,2025-08-06 04:56:21,Shopee
good,5,2025-08-06 04:35:32,Shopee
i was wondering why shopee can being unfair for customer who pay their loan on time... limits given seriously.. spechless,2,2025-08-06 04:22:01,Shopee
i m a fan,5,2025-08-06 04:03:36,Shopee
interesting to buy anything,5,2025-08-06 03:44:08,Shopee
customer support is not responsive,1,2025-08-06 03:17:10,Shopee
BAGI 1 STAR SEBAB GAME COIN MAKIN KEDEKUT DAN FARM MAKIN TERUK TAKDA COIN. NAK BATTLE PLANT SEED BUKANNYA MUDAH. 1 SAAT JE SEED NOT AVAILABLE DAH. JIMBET BETOL -.-,1,2025-08-06 03:01:35,Shopee
"guys dont use shopeefood Jom Rebut Deals, literally a scam",1,2025-08-06 02:43:18,Shopee
best app,5,2025-08-06 02:37:41,Shopee
sampah,1,2025-08-06 02:23:16,Shopee
"To all that is not happy about the ""Live & Video"" feed pop up upon opening the app, Shopee is telling you ""DILLIGAF"". They are pushing the video content hard, regardless of user complaints. The feature will be here whether you like it or not because Shopee is a platform which prioritizes seller rather than the buyer. It’s annoying when companies shove features down your throat without an option to turn them off. Now this app will auto lower your phone volume when you open it. Max intrusion!",1,2025-08-06 02:16:10,Shopee
Vere good app,5,2025-08-06 01:21:01,Shopee
tempat shopping yang paling bahaya...tgk jea nk beli .. semua barang murah dari kedai luar .. good job shoppe,5,2025-08-06 01:02:42,Shopee
"The service has become increasingly poor and ridiculous(shopeefood). Previously, refunds were processed on the spot, but now it takes so long, with unreasonable refund amounts. For example, paying RM6.50 but only receiving RM3.50 as a refund due to a merchandise error is completely unfair and deceitful. Because of this, I will switch to another platform.",1,2025-08-06 00:59:14,Shopee
Pilihan yg tepat dn mudah,5,2025-08-06 00:40:11,Shopee
Excellent 👌,5,2025-08-06 00:32:37,Shopee
awesome,5,2025-08-06 00:15:50,Shopee
"Goods worth, one star missing, because they promised for on-time-guarantee voucher, but when the parcel late arrives for 1 week, they change the time, so no one will get it.",4,2025-08-05 23:51:45,Shopee
Good,5,2025-08-05 23:26:40,Shopee
"90% like & 10% reject because the product not usefull, lie or other's..",5,2025-08-05 22:33:00,Shopee
"Awesome online shopping app, many discount vouchers and lowest price too.. 😄👍",5,2025-08-05 22:24:59,Shopee
"good better best...you don't believe , you gonna try it",4,2025-08-05 22:12:03,Shopee
rasa tak berbaloii,2,2025-08-05 22:06:53,Shopee
shopee now is doing much better,4,2025-08-05 21:53:01,Shopee
fantastic,5,2025-08-05 21:35:02,Shopee
Good,5,2025-08-05 20:52:57,Shopee
Perfect online solution for me....indeed amazing,5,2025-08-05 18:03:26,Shopee
Good,5,2025-08-05 17:48:18,Shopee
VERY GOOOD,5,2025-08-05 17:24:57,Shopee
Convenient to use,5,2025-08-05 16:54:40,Shopee
ok,5,2025-08-05 16:49:31,Shopee
very nice app,5,2025-08-05 16:49:08,Shopee
Good,5,2025-08-05 16:48:49,Shopee
good apps,5,2025-08-05 16:46:18,Shopee
baik,5,2025-08-05 16:23:27,Shopee
"very stupid ads in the game, what do you want huh? just statistic? even click close buttton still direct to shopee page",1,2025-08-05 16:05:30,Shopee
"The app is clearly asking users to do more and more for rewards. Recently, I was doing the Tiles game and the app stopped responding as if the internet was not working and my tiles could not be cleared in time as I only have a few tiles left. Is this a way to make people get less coins now?",1,2025-08-05 16:03:53,Shopee
wow,5,2025-08-05 15:47:21,Shopee
best off shopping,5,2025-08-05 15:20:50,Shopee
price seems high..kindly take note,3,2025-08-05 15:13:25,Shopee
"I HATE your ads, it's bothering my gaming",1,2025-08-05 14:29:43,Shopee
"Verification id until now been reject, other apps didn't get any difficulty. How many times i need to re apply id verification?",1,2025-08-05 14:10:35,Shopee
The best app!,5,2025-08-05 14:06:41,Shopee
Nice apps... It safe me a lot of money as the price is cheaper than most retailer stores nationwide..,5,2025-08-05 13:58:49,Shopee
"shopee candy game is so bias.they pair you on competition with someone who is much² lower level than you.if you in level 3000,they pair you with someone from level 10.level 3000 puzzle is much harder to win rather than level 10 so everytime there is an competition event you will keep losing every time.also they force you to play that competition wether u want it or not.shopee suck.",1,2025-08-05 13:55:29,Shopee
shopping with feel great trustworthy.,5,2025-08-05 12:46:07,Shopee
"SPX keep on sending my item to wrong address recently. And resolution given by shopee also not really helpful. Really frustated with the delivery and ways of the item delivered. so bad. if I can give no star, no star will be given",1,2025-08-05 12:32:38,Shopee
"very slow delivery, my item kept at the factory for 7 days for no reason",1,2025-08-05 11:58:50,Shopee
nice,5,2025-08-05 11:53:24,Shopee
Xboleh pilih courier,5,2025-08-05 11:39:19,Shopee
"Good, easy to find some item needed",5,2025-08-05 11:17:02,Shopee
good,5,2025-08-05 11:07:43,Shopee
terbaik. mudah,5,2025-08-05 10:54:02,Shopee
"best tak payah jalan ke mana2 semua ada,d hujung jari",5,2025-08-05 10:37:24,Shopee
terbaik,5,2025-08-05 10:23:05,Shopee
awesome,5,2025-08-05 10:21:50,Shopee
"Shopee offer good rate with 1 month no intrest spay later which make finance more flexible. but the recent tree plant become a fraud where you are unable to get coins anymore since it always run out of the coins tree. for example when it said 6pm, you can wait for it 5.59pm but it just became another ""ran out"". tried for a few days since this new update.",3,2025-08-05 10:19:38,Shopee
👍,5,2025-08-05 09:00:20,Shopee
Terbaik,5,2025-08-05 08:46:30,Shopee
Nice.. Terima kasih..,5,2025-08-05 08:18:35,Shopee
trusted,5,2025-08-05 08:01:58,Shopee
Thanks shopee,5,2025-08-05 07:34:10,Shopee
Good platform to get a affordable items.,5,2025-08-05 07:31:14,Shopee
I got discount from item I purchased i really like shopee is my favorite,5,2025-08-05 07:24:21,Shopee
"Please ban Best Express courier from Shopee, their service is the most terrible in Malaysia.",1,2025-08-05 06:29:19,Shopee
ok senang guna boleh beli dgn mudah.,5,2025-08-05 05:58:44,Shopee
currently the app become slow in respond when press certain button. it could be the app is too complex made the app slow in responding.,3,2025-08-05 05:55:39,Shopee
verry good services,5,2025-08-05 05:43:12,Shopee
very good,5,2025-08-05 05:35:57,Shopee
very good performance then I aspect,5,2025-08-05 05:15:16,Shopee
good,5,2025-08-05 05:05:24,Shopee
very good,5,2025-08-05 04:15:12,Shopee
Cannot choose my favourite courier..,5,2025-08-05 04:07:37,Shopee
good,5,2025-08-05 03:52:20,Shopee
good,5,2025-08-05 02:17:55,Shopee
"A lot of thing can buy, tu je hahaHha",5,2025-08-05 02:14:01,Shopee
good app,4,2025-08-05 02:04:54,Shopee
"please put tng payment, it's so hard for me to buy things cod as a student.",4,2025-08-05 01:59:07,Shopee
good service,4,2025-08-05 01:42:37,Shopee
love it soooo much💜,5,2025-08-05 00:47:27,Shopee
easy to shopping,5,2025-08-05 00:05:57,Shopee
"SHOPEE MENYUSAHKAN PELANGGAN DAH TAHU APP PROBLEM TETAP TERIMA PEMBAYARAN LEPASTU BILA PEMBAYARAN GAGAL TETAP KENA TUNGGU BERPULUH TAHUN UNTUK DAPATKAN REFUND!!! BUAT ADUAN MACAM SAMPAH, LANGSUNG TAK ADA TINDAKAN",1,2025-08-04 23:26:05,Shopee
best shopping app,5,2025-08-04 22:39:49,Shopee
Good app,5,2025-08-04 21:22:10,Shopee
ok,4,2025-08-04 18:10:45,Shopee
"minor issues, but overall good.",5,2025-08-04 17:36:08,Shopee
what is the point of putting 2 filter options of Halal and exclude Non-halal. it literally has the same meaning.,1,2025-08-04 17:23:21,Shopee
don't send me ads ..,1,2025-08-04 15:56:18,Shopee
best,5,2025-08-04 15:47:33,Shopee
Year 2025 shopee apps consumed lots of my phone memory up to 4 giga byte. Bigger than other apps. This does causes phone jammed.,4,2025-08-04 15:03:51,Shopee
very good,5,2025-08-04 14:51:43,Shopee
good,5,2025-08-04 14:27:30,Shopee
have good experience,5,2025-08-04 14:26:02,Shopee
very nice app,5,2025-08-04 14:00:41,Shopee
good experiance,5,2025-08-04 13:47:51,Shopee
Cannot select courier n too many fake sellers nowadays....,5,2025-08-04 13:34:33,Shopee
"sangat selesa gunakan platform shoppee utk membeli belah. harga yang murah. parcel selamat sampai. if ada yg rosak, dont worry, boleh dapat refund semula.",5,2025-08-04 13:11:16,Shopee
good app,5,2025-08-04 13:03:51,Shopee
"Shopee have change their coin collection again... I can't plant any tree that give coins... please change it back, as most of the time we are working... if this continues, it is really waste of time to plant trees...",2,2025-08-04 12:52:08,Shopee
good platform online shopping,5,2025-08-04 11:55:26,Shopee
good jimat,5,2025-08-04 11:51:00,Shopee
all scammer seller there,1,2025-08-04 11:44:31,Shopee
Easy to use UI. It's high time that an option is given to the buyer to choose less single-use plastic packaging for hardy items that can stand the rigours of Malaysian logistics. Update after 3 yrs 3/8/2025: Still wish for option to reduce single plastic usage. SpayLater instalment plan billing needs a bit more expanded details for earlier-than-due-date payments which is confusing.,4,2025-08-04 11:42:22,Shopee
love to orders the things i desire from here,5,2025-08-04 11:37:32,Shopee
best,5,2025-08-04 11:24:35,Shopee
Nothing to say coz u are the best👍👍👍,5,2025-08-04 10:50:47,Shopee
Terrible . Please stop turning on the shoppe video automatically. it's irritating. just about to uninstall the app,1,2025-08-04 10:34:50,Shopee
app yg memudahkan urusan seharian.semuanya dihujung jari dan mudah nak cari apa je..,5,2025-08-04 10:03:35,Shopee
ok good,5,2025-08-04 09:54:45,Shopee
All the way the best shopping ✨,5,2025-08-04 09:47:02,Shopee
insha'Allah,5,2025-08-04 09:23:05,Shopee
Shopping....Shopping....pening...pening...abis usin...,5,2025-08-04 09:07:47,Shopee
I have buying a things in shopee 5 years so good things and quality I can give 10/10,5,2025-08-04 09:06:19,Shopee
👍,5,2025-08-04 08:34:41,Shopee
good,5,2025-08-04 08:16:02,Shopee
good,5,2025-08-04 08:09:47,Shopee
Your online shopping preferences!!,5,2025-08-04 07:55:44,Shopee
Easy and good for me,5,2025-08-04 07:45:01,Shopee
shopee is very good and amazing to use,5,2025-08-04 07:21:58,Shopee
shoppe terbaik ..memudahkan customer membeli dgn mudah dgn adanya spay later,5,2025-08-04 07:18:38,Shopee
good,5,2025-08-04 07:16:31,Shopee
good,5,2025-08-04 06:56:19,Shopee
very good,5,2025-08-04 06:38:43,Shopee
👍👍👍,5,2025-08-04 06:33:28,Shopee
mudah untuk digunakan Dan boleh dipercayai,5,2025-08-04 06:26:33,Shopee
that a lot of shopee live voucher. happy to shopping with shopee,5,2025-08-04 06:26:21,Shopee
blh beli bnyk brg murah dan shipping murah..lebih bnyak pilihan juga kalau nak beli brg..Terbaik..,5,2025-08-04 05:52:09,Shopee
Good app,5,2025-08-04 04:58:14,Shopee
👍👍👍,5,2025-08-04 04:46:46,Shopee
shope babi,1,2025-08-04 04:27:55,Shopee
"The Live & Videos page is absolutely annoying like most recent reviews pointed out, I would like to plead with the Shopee Management to not fix what is already working. Just launch the app at the home page. It is called home page for a reason. Please save the ""We're sorry to hear about this review"" reply, you guys know what to do.",1,2025-08-04 04:12:34,Shopee
Makin kedekut voucher shipping...dr Rm5 dh jd Rm3,1,2025-08-04 04:04:29,Shopee
Good and safety,5,2025-08-04 03:58:30,Shopee
app cannot see detail of product so it's difficult,1,2025-08-04 03:56:16,Shopee
it be nicer if I can filter review based on product variation,5,2025-08-04 03:49:40,Shopee
Semakin.. Padu shopee sekarang.. Sesekali bagi la saya hadiah misteri... Huhu,5,2025-08-04 03:47:32,Shopee
Quality of life upgraded,5,2025-08-04 03:38:26,Shopee
convenience.,5,2025-08-04 03:15:59,Shopee
Very recommended apps.. good apps to buy any thing with online ..,5,2025-08-04 02:38:35,Shopee
"dari dulu sampai skrg setia dgn shopee sebab banyak voucher, diskaun, free shipping",5,2025-08-04 02:25:10,Shopee
Very good.,5,2025-08-04 02:23:08,Shopee
wow nice,5,2025-08-04 01:53:45,Shopee
Selamat hari raya Aidilfitri maaf zahir dan batin 🤝,5,2025-08-04 01:39:33,Shopee
now days shopee price very high and voucher also never give,1,2025-08-04 01:38:29,Shopee
sgt memudahkan urusan saya,5,2025-08-04 01:32:32,Shopee
"App is very obnoxious and busy, has auto-playing videos all the time regardless of weather you want to see them. For some products, when you click on them, a video plays and forces you to scroll for videos The tiny floating icons interfere with browsing. Sometimes if you just open the app, its playing videos with audio at volume which is also not nice. The ""Win coins daily"" spin wheel always give you only one coin, while giving you false hope that you might win a higher amount some day.",2,2025-08-04 01:16:26,Shopee
Slow loading,1,2025-08-04 00:32:07,Shopee
Reliable and reliable,5,2025-08-04 00:15:14,Shopee
"why is the app auto adjusting my phones media volume without my permission? Stop loading in to Live page and stop auto play video on the product page, the app continues to run and use up battery even though app has been shut down, why is the app developer not looking into this even though so many user complaints about this issue?",1,2025-08-04 00:14:09,Shopee
"i use it every month. but my spaylater never increases. I asked the customer service why and maybe how to increase the spaylater. I even change my payment behaviour, Pay just on due only. but spaylater still doesn't increase at all. I want to know what the problem is. this is not my first time facing the shopee customer service. They can give extra discounts or offers etc, but when problems occur they just drag the time until we leave the helpline chat. I might consider using other platform.",1,2025-08-04 00:03:24,Shopee
awesome,5,2025-08-03 23:55:34,Shopee
ok,5,2025-08-03 22:20:04,Shopee
good,5,2025-08-03 22:15:39,Shopee
🙏🙏🙏,5,2025-08-03 21:30:01,Shopee
"you guys should remove the reviews that are irrelevant to the product they are buying. its giving me headaches. why? i want to buy a shirt for example, the reviews people are giving is recording their room, their car and sometimes they post some random tiktok videos in the review section.",2,2025-08-03 21:09:36,Shopee
"saya nak spay later saya ditambah, plsss",4,2025-08-03 18:10:06,Shopee
item yg di beli bagus.. sesuai dgn harga dan quality,5,2025-08-03 18:09:21,Shopee
"surprised to find shopee s improvement in delivery. late delivery, a compensation of rm5/. you have choice of delivery at door step or pick up at center. so, save your cost.",5,2025-08-03 16:04:14,Shopee
I Got Alots Of Free Shipping And Coupons,5,2025-08-03 15:38:01,Shopee
"Recently this is my main shopping apps. I'm always enjoy shopping with shopee. Shopee is the trusted online shopping apps. The apps is easy to use, easy to pay & I found a variety of products at good prices. Too many voucher offering. Overall, I enjoyed shopping at Shopee and would recommend it! 👍🏼🤗",5,2025-08-03 15:32:22,Shopee
Really upset as sellers are making fake good reviews for their products. This cheating culture comes from another county. Please do something to stop it.,1,2025-08-03 15:27:12,Shopee
very amazing,5,2025-08-03 15:24:19,Shopee
marvellous,5,2025-08-03 15:10:10,Shopee
iklan melampau,1,2025-08-03 14:46:30,Shopee
so far so good,5,2025-08-03 14:12:41,Shopee
"A lot of high quality products where u can buy at cheap prices. It is not just cheap, its a consider very cheap at very reasonble prices looking at current situation where everything is expensive nowadays",5,2025-08-03 14:03:52,Shopee
good,5,2025-08-03 13:54:48,Shopee
"Shopee app is extremely cluttered and overwhelming. It's filled with constant pop-ups, notifications, and unwanted live streams that get in the way of actually shopping. The interface feels chaotic and is very hard to navigate. I just want a simple and smooth shopping experience—this app delivers the opposite. I genuinely hate using it and avoid it unless absolutely necessary.",1,2025-08-03 13:09:16,Shopee
I can get almost everything here!,5,2025-08-03 13:05:03,Shopee
"Good genuine real trusty product, fast expert experienced delivery",5,2025-08-03 12:52:58,Shopee
good,4,2025-08-03 12:38:34,Shopee
"I like shopee, the only thing is the bias, when it comes to free coin rewards, maybe I am bias.",5,2025-08-03 12:36:49,Shopee
great app and vocher,5,2025-08-03 12:35:42,Shopee
always good,5,2025-08-03 12:10:37,Shopee
terbaik,5,2025-08-03 12:05:35,Shopee
yes love you shoppee,5,2025-08-03 12:02:08,Shopee
okay,5,2025-08-03 11:48:58,Shopee
"Excellence apps shopee, small favours please be sure that many products have COD i mean not so expensixe things",5,2025-08-03 11:32:24,Shopee
good👍,4,2025-08-03 11:28:47,Shopee
Excellent app and I can get a lot loyalty from any program from this app,5,2025-08-03 11:17:00,Shopee
Best sites shopping,5,2025-08-03 11:05:17,Shopee
so many vouchers,5,2025-08-03 10:50:34,Shopee
harga murah Dari beli walk in,5,2025-08-03 10:49:04,Shopee
good,5,2025-08-03 10:48:15,Shopee
Terbaik.. Padu palu,5,2025-08-03 10:35:07,Shopee
always lagging,1,2025-08-03 10:15:09,Shopee
Ok good,5,2025-08-03 10:11:50,Shopee
